updated,date through,zipcode,confirmed_cases
2020-04-05,2020-04-01,92121,3
2020-04-05,2020-04-01,92122,11
2020-04-05,2020-04-01,92123,19
2020-04-05,2020-04-01,92124,7
2020-04-05,2020-04-01,92126,17
2020-04-05,2020-04-01,92127,14
2020-04-05,2020-04-01,92128,22
2020-04-05,2020-04-01,92129,14
2020-04-05,2020-04-01,92130,21
2020-04-05,2020-04-01,92131,4
2020-04-05,2020-04-01,92139,15
2020-04-05,2020-04-01,92145,2
2020-04-05,2020-04-01,92147,1
2020-04-05,2020-04-01,92154,23
2020-04-05,2020-04-01,92161,3
2020-04-05,2020-04-01,92168,1
2020-04-05,2020-04-01,92173,7
2020-04-05,2020-04-01,92196,1
2020-04-05,2020-04-01,Unknown*,26
2020-04-05,2020-04-01,TOTAL,966
2020-04-05,2020-04-02,91901,1
2020-04-05,2020-04-02,91902,9
2020-04-05,2020-04-02,91909,1
2020-04-05,2020-04-02,91910,23
2020-04-05,2020-04-02,91911,21
2020-04-05,2020-04-02,91913,20
2020-04-05,2020-04-02,91914,2
2020-04-05,2020-04-02,91915,7
2020-04-05,2020-04-02,91916,1
2020-04-05,2020-04-02,91932,2
2020-04-05,2020-04-02,91935,1
2020-04-05,2020-04-02,91941,4
2020-04-05,2020-04-02,91942,12
2020-04-05,2020-04-02,91945,10
2020-04-05,2020-04-02,91950,17
2020-04-05,2020-04-02,91977,21
2020-04-05,2020-04-02,91978,2
2020-04-05,2020-04-02,92004,1
2020-04-05,2020-04-02,92007,4
2020-04-05,2020-04-02,92008,7
2020-04-05,2020-04-02,92009,16
2020-04-05,2020-04-02,92010,9
2020-04-05,2020-04-02,92011,5
2020-04-05,2020-04-02,92014,11
2020-04-05,2020-04-02,92019,21
2020-04-05,2020-04-02,92020,34
2020-04-05,2020-04-02,92021,28
2020-04-05,2020-04-02,92024,23
2020-04-05,2020-04-02,92025,11
2020-04-05,2020-04-02,92026,6
2020-04-05,2020-04-02,92027,7
2020-04-05,2020-04-02,92028,5
2020-04-05,2020-04-02,92029,9
2020-04-05,2020-04-02,92037,29
2020-04-05,2020-04-02,92039,1
2020-04-05,2020-04-02,92040,8
2020-04-05,2020-04-02,92054,7
2020-04-05,2020-04-02,92056,10
2020-04-05,2020-04-02,92057,7
2020-04-05,2020-04-02,92058,5
2020-04-05,2020-04-02,92061,2
2020-04-05,2020-04-02,92064,13
2020-04-05,2020-04-02,92065,6
2020-04-05,2020-04-02,92066,2
2020-04-05,2020-04-02,92067,12
2020-04-05,2020-04-02,92069,5
2020-04-05,2020-04-02,92071,12
2020-04-05,2020-04-02,92075,4
2020-04-05,2020-04-02,92078,9
2020-04-05,2020-04-02,92081,9
2020-04-05,2020-04-02,92082,1
